Date, free, total, cpu, remote
Mon Apr 16 11:07:01 PDT 2012, 1558, 3758, -1.0, 10.45.1.133
Mon Apr 16 13:09:43 PDT 2012, 2722, 3825, -1.0, 10.45.1.133
Mon Apr 16 13:09:46 PDT 2012, 2704, 3825, -1.0, 10.45.1.133
Tue Apr 17 10:49:39 PDT 2012, 2622, 3825, -1.0, 10.45.1.133
Tue Apr 17 10:55:42 PDT 2012, 2274, 3825, -1.0, 10.45.1.133
Tue Apr 17 10:55:56 PDT 2012, 2271, 3825, -1.0, 10.45.1.133
Tue Apr 17 10:59:10 PDT 2012, 1836, 3825, -1.0, 10.45.1.133
Tue Apr 17 11:35:09 PDT 2012, 2426, 3825, 0.0, 10.45.1.133
Tue Apr 17 11:38:47 PDT 2012, 2399, 3825, 0.0, 10.2.160.250
Tue Apr 17 15:04:43 PDT 2012, 1498, 2355, 0.0, 10.45.1.133
Tue Apr 17 15:19:49 PDT 2012, 1052, 2355, 0.0, 10.45.1.133
Wed Apr 18 00:16:04 PDT 2012, 2295, 2355, 0.0, 10.2.160.250
Wed Apr 18 00:16:28 PDT 2012, 2094, 2355, 0.0, 10.2.160.250
Wed Apr 18 00:24:05 PDT 2012, 2085, 2355, 0.0, 10.2.160.250
Wed Apr 18 09:39:29 PDT 2012, 2331, 2355, 0.0, 10.45.1.133
Wed Apr 18 13:43:29 PDT 2012, 2292, 2355, 0.0, 10.45.1.133
Wed Apr 18 13:51:41 PDT 2012, 1125, 2355, 0.0, 10.45.1.133
Wed Apr 18 14:56:44 PDT 2012, 2132, 2355, 0.0, 10.45.1.133
Wed Apr 18 15:05:46 PDT 2012, 2024, 2355, 0.0, 10.45.1.133
Wed Apr 18 17:41:29 PDT 2012, 2135, 2355, 0.0, 10.45.1.133
Wed Apr 18 17:53:22 PDT 2012, 1787, 2355, 0.0, 10.45.1.133
Thu Apr 19 00:27:46 PDT 2012, 2246, 2355, 0.0, 10.2.160.250
Thu Apr 19 01:23:04 PDT 2012, 2220, 2355, 0.0, 10.2.160.250
Thu Apr 19 09:51:48 PDT 2012, 2311, 2355, 0.0, 10.45.1.133
Thu Apr 19 09:53:31 PDT 2012, 1852, 2355, 0.0, 10.45.1.133
Thu Apr 19 10:29:30 PDT 2012, 1836, 2355, 0.0, 10.45.1.133
Thu Apr 19 11:02:18 PDT 2012, 1992, 2355, 0.0, 10.45.1.133
Thu Apr 19 11:07:03 PDT 2012, 1970, 2355, 0.0, 10.45.1.133
Thu Apr 19 11:07:31 PDT 2012, 1969, 2355, 0.0, 10.45.1.133
Thu Apr 19 12:47:40 PDT 2012, 2059, 2355, 0.0, 10.45.1.133
Thu Apr 19 12:53:05 PDT 2012, 2051, 2355, 0.0, 10.45.1.133
Thu Apr 19 12:54:46 PDT 2012, 1893, 2355, 0.0, 10.45.1.133
Thu Apr 19 12:55:14 PDT 2012, 1893, 2355, 0.0, 10.45.1.133
Thu Apr 19 12:56:01 PDT 2012, 1782, 2355, 0.0, 10.45.1.133
Thu Apr 19 12:57:22 PDT 2012, 1697, 2355, 0.0, 10.45.1.133
Thu Apr 19 12:58:25 PDT 2012, 1679, 2355, 0.0, 10.45.1.133
Fri Apr 20 09:41:08 PDT 2012, 2048, 2355, 0.0, 10.45.1.133
Fri Apr 20 10:17:27 PDT 2012, 1586, 2355, 0.0, 10.45.1.133
Mon Apr 23 10:06:05 PDT 2012, 1863, 2355, 0.0, 10.45.1.133
Mon Apr 23 10:12:48 PDT 2012, 1727, 2355, 0.0, 10.45.1.133
Mon Apr 23 10:49:11 PDT 2012, 1710, 2355, 0.0, 10.2.160.250
Mon Apr 23 10:52:22 PDT 2012, 1835, 2355, 0.0, 10.45.1.133
Mon Apr 23 11:51:09 PDT 2012, 1304, 2355, 0.0, 10.45.1.133
Mon Apr 23 13:47:00 PDT 2012, 1792, 2355, 0.0, 10.45.1.133
Mon Apr 23 15:23:57 PDT 2012, 1657, 2355, 0.0, 10.45.1.133
Mon Apr 23 15:24:02 PDT 2012, 1638, 2355, 0.0, 10.45.1.133
Mon Apr 23 15:36:36 PDT 2012, 1633, 2355, 0.0, 10.45.1.133
Mon Apr 23 18:01:13 PDT 2012, 1524, 2355, 0.0, 10.45.1.133
Mon Apr 23 18:22:08 PDT 2012, 1416, 2355, 0.0, 10.45.1.133
Mon Apr 23 18:23:03 PDT 2012, 1414, 2355, 0.0, 10.45.1.133
Mon Apr 23 18:25:27 PDT 2012, 506, 3315, 0.0, 10.45.1.133
Tue Apr 24 04:33:48 PDT 2012, 3282, 3315, 0.0, 10.2.160.250
Tue Apr 24 05:11:25 PDT 2012, 3266, 3315, 0.0, 10.2.160.250
Wed Apr 25 06:00:45 PDT 2012, 1109, 1187, 0.0, 10.2.160.250
Wed Apr 25 09:22:35 PDT 2012, 1174, 1187, 0.0, 10.45.1.133
Wed Apr 25 09:39:42 PDT 2012, 1060, 1187, 0.0, 10.45.1.133
Wed Apr 25 12:38:03 PDT 2012, 1123, 1187, 0.0, 10.45.1.133
Wed Apr 25 12:44:58 PDT 2012, 584, 1187, 0.0, 10.45.1.133
Wed Apr 25 12:45:11 PDT 2012, 582, 1187, 0.0, 10.45.1.133
Wed Apr 25 13:41:54 PDT 2012, 198, 1321, 0.0, 10.45.1.133
Wed Apr 25 14:52:55 PDT 2012, 974, 1338, 0.0, 10.45.1.133
Wed Apr 25 15:14:08 PDT 2012, 240, 1338, 0.0, 10.45.1.133
Wed Apr 25 15:14:24 PDT 2012, 239, 1338, 0.0, 10.45.1.133
Wed Apr 25 15:25:07 PDT 2012, 208, 1338, 0.0, 10.45.1.133
Wed Apr 25 16:07:53 PDT 2012, 938, 1338, 0.0, 10.45.1.133
Wed Apr 25 16:11:20 PDT 2012, 518, 1338, 0.0, 10.45.1.133
Date, free, total, cpu, remote
Thu Apr 05 05:39:32 EDT 2012, 2221, 2380, -1.0, 10.2.160.250
Thu Apr 05 05:52:26 EDT 2012, 2246, 2380, -1.0, 10.2.160.250
Tue Apr 10 08:21:43 EDT 2012, 2249, 2380, -1.0, 10.2.160.250
Tue Apr 10 08:54:58 EDT 2012, 2234, 2380, -1.0, 10.2.160.250
Tue Apr 17 15:48:36 EDT 2012, 2304, 2380, 0.0, 10.2.160.250
Wed Apr 18 09:23:31 EDT 2012, 2285, 2380, 0.0, 10.2.160.250
Tue Apr 24 02:16:44 EDT 2012, 2351, 2380, 0.0, 10.2.160.250
Tue Apr 24 02:16:57 EDT 2012, 2348, 2380, 0.0, 10.2.160.250
Tue Apr 24 02:28:49 EDT 2012, 2293, 2380, 0.0, 10.2.160.250
Tue Apr 24 02:40:34 EDT 2012, 1875, 2380, 0.0, 10.2.160.250
Tue Apr 24 04:20:57 EDT 2012, 2282, 2380, 0.0, 10.2.160.250
Tue Apr 24 07:34:55 EDT 2012, 2358, 2380, 0.0, 10.2.160.250
